source_catg,target_catg,delta_times
21862,21609,4.0
21609,21635,143.0
21739,21833,1.0
21739,21635,55.0
21739,21819,2.0
21739,21809,1.0
21739,21733,8.0
21739,21711,1.0
21739,21899,2.0
21739,21619,2.0
21739,21817,4.0
21817,21739,3.0
21739,21713,3.0
21710,21739,7.0
21739,21625,5.0
21720,21833,1.0
21805,21733,2.0
21739,21666,8.0
21739,21763,5.0
21763,21739,2.0
21739,21928,2.0
21621,21886,4.0
21621,21688,8.0
21918,21862,15.0
21918,21856,2.0
21856,21862,1.0
21898,21859,2.0
21918,21772,14.0
21772,21841,2.0
21635,21841,3.0
21918,21841,1.0
21805,21645,1.0
21817,21638,2.0
21720,21739,4.0
21630,21609,7.0
21609,21697,8.0
21697,21609,16.0
21886,21737,24.0
21737,21886,8.0
21739,21720,12.0
21625,21638,1.0
21686,21645,1.0
21807,21645,1.0
21886,21645,19.0
21753,21645,6.0
21734,21886,2.0
21609,21886,101.0
21805,21643,1.0
21635,21645,27.0
21645,21609,10.0
21645,21886,11.0
21886,21678,26.0
21688,21645,20.0
21886,21739,24.0
21678,21886,28.0
21931,21688,13.0
21635,21886,118.0
21757,21635,16.0
21731,21934,2.0
21934,21782,2.0
21782,21635,8.0
21635,21934,159.0
21934,21757,2.0
21835,21934,8.0
21934,21637,5.0
21637,21913,2.0
21635,21637,3.0
21635,21835,421.0
21752,21635,26.0
21928,21934,4.0
21896,21944,2.0
21934,21944,19.0
21944,21748,4.0
21739,21637,2.0
21635,21879,42.0
21635,21688,213.0
21748,21666,21.0
21635,21836,86.0
21944,21678,9.0
21678,21710,2.0
21635,21642,4.0
21862,21635,42.0
21918,21913,6.0
21703,21868,2.0
21635,21674,8.0
21674,21819,1.0
21710,21786,1.0
21913,21763,1.0
21815,21892,3.0
21720,21688,3.0
21933,21868,1.0
21635,21899,148.0
21688,21635,102.0
21640,21630,3.0
21630,21944,3.0
21737,21843,2.0
21933,21720,16.0
21792,21696,2.0
21944,21674,3.0
21674,21635,2.0
21871,21630,2.0
21871,21638,2.0
21739,21771,9.0
21635,21891,38.0
21933,21925,2.0
21933,21645,43.0
21898,21645,16.0
21835,21811,1.0
21926,21609,7.0
21645,21833,3.0
21833,21645,8.0
21748,21639,1.0
21619,21944,1.0
21886,21944,53.0
21666,21630,13.0
21886,21918,64.0
21918,21896,13.0
21614,21842,1.0
21842,21609,11.0
21609,21842,12.0
21730,21886,1.0
21886,21635,171.0
21798,21635,16.0
21914,21635,44.0
21875,21892,1.0
21892,21758,4.0
21898,21668,3.0
21797,21642,3.0
21779,21678,9.0
21833,21857,2.0
21899,21625,2.0
21833,21934,3.0
21944,21718,9.0
21635,21713,8.0
21886,21727,1.0
21819,21695,1.0
21638,21695,4.0
21739,21705,7.0
21706,21695,1.0
21740,21739,2.0
21739,21718,2.0
21770,21715,2.0
21715,21748,1.0
21879,21754,1.0
21710,21944,13.0
21944,21933,8.0
21934,21630,10.0
21733,21857,2.0
21792,21642,1.0
21639,21728,2.0
21933,21688,127.0
21815,21787,1.0
21739,21891,4.0
21635,21842,38.0
21886,21820,9.0
21638,21714,1.0
21933,21886,163.0
21879,21843,1.0
21843,21842,1.0
21933,21918,81.0
21933,21820,19.0
21820,21918,12.0
21918,21666,33.0
21666,21820,49.0
21934,21875,2.0
21875,21918,4.0
21918,21783,20.0
21820,21709,9.0
21857,21820,8.0
21815,21630,2.0
21630,21748,5.0
21764,21666,3.0
21932,21944,4.0
21871,21615,1.0
21710,21637,1.0
21609,21603,1.0
21609,21710,7.0
21809,21695,1.0
21928,21666,3.0
21721,21913,1.0
21763,21820,6.0
21944,21907,5.0
21907,21934,1.0
21778,21879,1.0
21630,21879,3.0
21842,21879,3.0
21805,21836,1.0
21834,21783,2.0
21783,21934,5.0
21731,21835,1.0
21635,21786,21.0
21786,21720,2.0
21635,21925,3.0
21635,21748,32.0
21641,21659,1.0
21635,21753,118.0
21753,21647,58.0
21647,21635,3.0
21609,21840,9.0
21635,21875,7.0
21753,21666,24.0
21753,21635,233.0
21681,21944,50.0
21609,21623,2.0
21815,21623,2.0
21688,21758,6.0
21758,21630,1.0
21630,21820,5.0
21820,21623,1.0
21615,21885,1.0
21615,21720,2.0
21933,21666,23.0
21666,21933,7.0
21896,21933,107.0
21778,21666,5.0
21778,21727,3.0
21666,21786,1.0
21678,21934,3.0
21842,21783,5.0
21635,21783,66.0
21918,21798,5.0
21798,21604,1.0
21604,21727,1.0
21779,21727,5.0
21733,21898,5.0
21842,21835,2.0
21918,21642,4.0
21642,21918,4.0
21635,21898,82.0
21898,21684,1.0
21635,21892,172.0
21892,21666,5.0
21898,21797,3.0
21918,21720,5.0
21680,21678,2.0
21797,21671,1.0
21671,21688,2.0
21797,21645,3.0
21684,21869,1.0
21645,21671,1.0
21678,21688,25.0
21688,21667,1.0
21918,21734,35.0
21645,21815,2.0
21621,21918,14.0
21621,21733,3.0
21733,21621,2.0
21783,21680,2.0
21642,21898,2.0
21898,21642,2.0
21783,21744,1.0
21898,21918,116.0
21898,21678,57.0
21782,21718,1.0
21645,21812,1.0
21812,21671,1.0
21918,21688,24.0
21898,21783,13.0
21779,21918,9.0
21705,21934,1.0
21637,21630,2.0
21862,21933,10.0
21933,21739,88.0
21609,21914,18.0
21715,21836,2.0
21783,21931,7.0
21931,21635,23.0
21635,21752,142.0
21931,21820,1.0
21944,21609,67.0
21609,21652,2.0
21835,21898,5.0
21783,21898,18.0
21753,21783,11.0
21734,21635,8.0
21688,21783,13.0
21635,21672,1.0
21686,21713,1.0
21914,21841,3.0
21798,21625,1.0
21635,21667,7.0
21730,21842,1.0
21739,21653,1.0
21842,21780,1.0
21934,21817,1.0
21619,21625,1.0
21944,21934,36.0
21782,21763,2.0
21933,21753,277.0
21704,21667,1.0
21753,21886,27.0
21635,21666,73.0
21635,21757,97.0
21790,21798,2.0
21739,21630,10.0
21842,21667,3.0
21842,21935,2.0
21820,21935,1.0
21918,21635,115.0
21898,21944,15.0
21918,21898,121.0
21944,21739,12.0
21695,21898,8.0
21748,21630,5.0
21898,21825,2.0
21738,21630,3.0
21829,21752,1.0
21752,21899,2.0
21635,21630,116.0
21898,21872,2.0
21872,21666,1.0
21757,21811,1.0
21682,21635,2.0
21918,21787,2.0
21678,21918,34.0
21678,21933,75.0
21933,21928,2.0
21635,21862,17.0
21678,21862,8.0
21933,21635,259.0
21862,21880,1.0
21833,21638,1.0
21670,21752,3.0
21630,21731,2.0
21731,21698,2.0
21826,21820,11.0
21635,21659,18.0
21875,21695,1.0
21727,21933,4.0
21933,21678,104.0
21733,21609,7.0
21609,21695,6.0
21918,21886,54.0
21898,21886,36.0
21936,21695,1.0
21896,21898,13.0
21886,21933,175.0
21933,21695,22.0
21886,21771,1.0
21666,21678,9.0
21695,21896,3.0
21918,21933,73.0
21898,21630,16.0
21856,21806,17.0
21856,21688,2.0
21886,21817,1.0
21741,21806,2.0
21607,21879,1.0
21635,21856,7.0
21642,21635,15.0
21666,21763,6.0
21727,21666,9.0
21697,21914,2.0
21879,21739,5.0
21934,21739,36.0
21815,21820,4.0
21773,21934,1.0
21898,21934,7.0
21739,21753,20.0
21730,21635,9.0
21730,21739,5.0
21823,21730,3.0
21635,21763,29.0
21918,21737,7.0
21892,21619,3.0
21630,21730,1.0
21898,21739,16.0
21748,21909,2.0
21934,21748,6.0
21898,21857,2.0
21741,21630,1.0
21739,21688,14.0
21667,21770,1.0
21821,21842,2.0
21739,21871,2.0
21635,21815,40.0
21625,21630,1.0
21886,21688,43.0
21815,21879,1.0
21688,21886,14.0
21625,21635,4.0
21884,21836,1.0
21875,21744,1.0
21744,21635,3.0
21737,21769,5.0
21886,21696,4.0
21836,21635,45.0
21635,21769,11.0
21862,21879,4.0
21748,21635,20.0
21670,21638,1.0
21638,21752,1.0
21858,21826,2.0
21609,21645,10.0
21678,21737,3.0
21890,21638,1.0
21913,21638,1.0
21635,21857,42.0
21645,21635,47.0
21783,21739,41.0
21757,21730,1.0
21933,21823,40.0
21933,21621,24.0
21621,21666,3.0
21666,21695,5.0
21688,21933,68.0
21833,21635,4.0
21635,21914,137.0
21914,21886,17.0
21862,21718,3.0
21718,21886,4.0
21833,21886,8.0
21621,21695,13.0
21888,21645,1.0
21645,21823,2.0
21914,21621,4.0
21609,21823,2.0
21823,21635,14.0
21635,21823,15.0
21688,21695,5.0
21765,21697,2.0
21697,21621,1.0
21914,21933,8.0
21739,21823,6.0
21898,21695,16.0
21823,21695,2.0
21823,21933,3.0
21835,21603,1.0
21645,21914,11.0
21645,21688,9.0
21645,21898,11.0
21898,21635,117.0
21645,21615,1.0
21835,21635,38.0
21630,21635,16.0
21842,21798,2.0
21678,21733,6.0
21609,21944,37.0
21609,21813,3.0
21813,21609,1.0
21886,21718,7.0
21718,21918,1.0
21918,21609,83.0
21753,21933,113.0
21933,21770,7.0
21770,21933,3.0
21933,21642,7.0
21601,21933,5.0
21635,21863,1.0
21863,21784,1.0
21784,21763,2.0
21763,21753,2.0
21710,21635,13.0
21635,21787,42.0
21739,21879,5.0
21934,21733,3.0
21642,21913,1.0
21944,21888,18.0
21879,21765,3.0
21944,21815,3.0
21914,21779,6.0
21639,21890,2.0
21933,21862,26.0
21666,21842,6.0
21624,21609,4.0
21625,21899,2.0
21757,21752,2.0
21678,21899,1.0
21695,21666,4.0
21666,21621,3.0
21695,21933,4.0
21695,21688,1.0
21609,21727,11.0
21862,21779,2.0
21769,21688,4.0
21862,21911,9.0
21911,21862,7.0
21862,21842,4.0
21769,21886,33.0
21886,21769,37.0
21862,21769,4.0
21862,21688,16.0
21911,21630,1.0
21862,21613,2.0
21739,21730,2.0
21764,21668,1.0
21635,21871,16.0
21739,21797,2.0
21862,21739,8.0
21739,21862,4.0
21630,21688,6.0
21739,21774,4.0
21774,21635,2.0
21739,21892,2.0
21892,21739,2.0
21944,21681,78.0
21886,21842,15.0
21842,21614,3.0
21886,21627,1.0
21609,21934,14.0
21797,21914,1.0
21914,21730,4.0
21730,21609,1.0
21609,21879,13.0
21933,21842,46.0
21840,21782,1.0
21792,21652,1.0
21737,21833,7.0
21778,21635,6.0
21678,21748,12.0
21680,21887,1.0
21758,21708,1.0
21896,21601,1.0
21896,21678,10.0
21730,21678,3.0
21815,21601,1.0
21601,21678,2.0
21710,21934,8.0
21934,21710,4.0
21630,21886,7.0
21753,21630,9.0
21783,21635,42.0
21820,21815,6.0
21635,21928,14.0
21928,21635,1.0
21763,21859,1.0
21934,21635,52.0
21918,21630,16.0
21733,21623,1.0
21623,21835,1.0
21695,21757,1.0
21695,21635,10.0
21896,21695,2.0
21666,21783,3.0
21741,21666,1.0
21914,21623,1.0
21620,21688,1.0
21623,21695,1.0
21688,21630,6.0
21630,21623,1.0
21783,21623,1.0
21944,21638,4.0
21638,21820,18.0
21944,21886,22.0
21623,21918,2.0
21757,21934,5.0
21933,21748,13.0
21635,21733,23.0
21862,21783,6.0
21767,21896,4.0
21733,21869,2.0
21869,21892,4.0
21886,21797,3.0
21635,21711,2.0
21797,21635,6.0
21797,21928,1.0
21733,21710,3.0
21710,21757,1.0
21733,21678,5.0
21944,21710,30.0
21739,21888,2.0
21934,21621,3.0
21786,21630,2.0
21932,21688,5.0
21934,21688,11.0
21609,21898,84.0
21898,21609,54.0
21609,21688,32.0
21666,21834,3.0
21694,21834,1.0
21763,21834,4.0
21834,21694,1.0
21694,21738,1.0
21738,21817,1.0
21817,21666,4.0
21637,21763,1.0
21645,21763,3.0
21713,21645,1.0
21763,21635,5.0
21635,21834,4.0
21820,21834,2.0
21688,21834,2.0
21763,21645,2.0
21609,21763,2.0
21609,21834,2.0
21640,21786,2.0
21763,21641,1.0
21748,21834,1.0
21944,21834,1.0
21678,21635,64.0
21608,21609,2.0
21635,21638,8.0
21931,21735,1.0
21944,21666,9.0
21835,21757,3.0
21688,21931,4.0
21807,21727,1.0
21898,21820,21.0
21697,21778,1.0
21779,21875,14.0
21635,21779,29.0
21753,21678,22.0
21898,21753,66.0
21727,21635,17.0
21798,21688,12.0
21666,21659,2.0
21770,21630,3.0
21944,21783,9.0
21944,21853,18.0
21635,21609,48.0
21638,21666,11.0
21783,21857,4.0
21857,21944,3.0
21696,21635,14.0
21886,21629,1.0
21879,21733,2.0
21934,21835,12.0
21771,21835,1.0
21779,21675,2.0
21944,21879,11.0
21786,21640,8.0
21765,21640,2.0
21944,21737,35.0
21770,21688,9.0
21635,21730,24.0
21730,21713,1.0
21713,21934,3.0
21842,21688,16.0
21688,21860,1.0
21933,21799,15.0
21669,21713,1.0
21652,21888,1.0
21753,21899,11.0
21899,21785,2.0
21635,21810,5.0
21753,21922,1.0
21944,21898,13.0
21820,21771,1.0
21752,21748,2.0
21933,21772,12.0
21874,21934,3.0
21891,21934,3.0
21666,21688,3.0
21798,21787,3.0
21638,21783,3.0
21888,21688,11.0
21944,21652,79.0
21769,21944,2.0
21739,21738,1.0
21820,21764,1.0
21678,21727,2.0
21739,21933,36.0
21933,21718,8.0
21718,21635,21.0
21918,21678,49.0
21886,21630,6.0
21630,21638,4.0
21770,21673,1.0
21673,21890,1.0
21667,21609,4.0
21748,21778,3.0
21783,21944,6.0
21738,21771,3.0
21918,21833,3.0
21688,21637,1.0
21944,21668,1.0
21635,21931,15.0
21783,21727,2.0
21727,21678,2.0
21944,21727,9.0
21753,21609,18.0
21609,21753,36.0
21914,21806,1.0
21857,21635,18.0
21688,21609,28.0
21892,21635,19.0
21817,21842,1.0
21615,21666,2.0
21769,21820,4.0
21720,21758,1.0
21922,21630,1.0
21907,21635,4.0
21879,21635,17.0
21735,21879,1.0
21752,21727,3.0
21678,21778,2.0
21767,21898,3.0
21678,21753,34.0
21886,21637,4.0
21934,21918,8.0
21635,21890,7.0
21918,21934,20.0
21933,21620,2.0
21620,21840,1.0
21933,21835,5.0
21835,21896,1.0
21933,21896,74.0
21934,21896,9.0
21896,21886,40.0
21886,21896,21.0
21753,21896,4.0
21635,21933,125.0
21630,21934,7.0
21749,21779,1.0
21694,21635,1.0
21928,21778,1.0
21771,21645,3.0
21645,21666,2.0
21933,21909,2.0
21609,21678,59.0
21678,21906,2.0
21886,21666,7.0
21666,21898,14.0
21898,21914,14.0
21914,21678,12.0
21914,21666,10.0
21928,21678,1.0
21944,21686,2.0
21840,21826,1.0
21836,21753,11.0
21857,21688,13.0
21863,21886,1.0
21862,21857,2.0
21857,21914,3.0
21914,21710,1.0
21710,21666,5.0
21778,21645,1.0
21608,21798,1.0
21609,21756,9.0
21769,21609,16.0
21836,21886,5.0
21933,21679,8.0
21679,21933,7.0
21842,21843,3.0
21821,21940,1.0
21940,21783,1.0
21806,21933,9.0
21740,21933,9.0
21933,21783,28.0
21783,21933,14.0
21824,21679,1.0
21679,21934,5.0
21934,21806,8.0
21806,21772,8.0
21772,21783,2.0
21934,21933,27.0
21679,21772,10.0
21772,21806,13.0
21806,21940,5.0
21940,21806,1.0
21806,21679,3.0
21940,21679,5.0
21933,21630,15.0
21630,21892,3.0
21679,21940,3.0
21940,21933,2.0
21806,21783,3.0
21783,21806,1.0
21940,21642,1.0
21642,21933,6.0
21933,21806,4.0
21806,21688,4.0
21806,21934,4.0
21933,21934,39.0
21940,21772,7.0
21940,21934,2.0
21842,21933,32.0
21842,21678,16.0
21678,21940,1.0
21933,21731,12.0
21731,21609,3.0
21933,21821,2.0
21933,21609,65.0
21730,21933,4.0
21688,21820,12.0
21933,21825,2.0
21825,21842,1.0
21787,21933,4.0
21621,21933,3.0
21797,21933,2.0
21815,21688,3.0
21933,21797,6.0
21797,21815,1.0
21815,21933,4.0
21635,21731,59.0
21731,21836,4.0
21820,21630,16.0
21874,21820,2.0
21733,21630,5.0
21635,21698,4.0
21820,21666,8.0
21698,21635,1.0
21635,21820,22.0
21934,21820,5.0
21934,21641,1.0
21641,21834,1.0
21834,21686,1.0
21686,21820,4.0
21834,21820,2.0
21898,21666,34.0
21944,21779,11.0
21933,21898,49.0
21898,21688,30.0
21876,21933,4.0
21601,21898,3.0
21840,21842,1.0
21752,21763,2.0
21811,21886,25.0
21710,21918,6.0
21918,21739,7.0
21739,21639,1.0
21639,21609,3.0
21885,21609,1.0
21609,21918,75.0
21898,21811,10.0
21811,21739,2.0
21739,21918,6.0
21609,21718,7.0
21718,21898,8.0
21609,21811,13.0
21918,21811,38.0
21886,21639,4.0
21639,21898,4.0
21918,21752,16.0
21752,21879,4.0
21609,21671,1.0
21620,21918,2.0
21609,21739,15.0
21652,21718,1.0
21811,21918,33.0
21886,21782,3.0
21898,21710,8.0
21783,21630,3.0
21811,21783,3.0
21771,21811,1.0
21639,21756,2.0
21756,21727,1.0
21727,21609,9.0
21779,21744,1.0
21898,21782,8.0
21782,21944,4.0
21895,21944,7.0
