poi,catg,delta_times
10389,21635,1.0
15992,21635,1.0
18696,21918,1.0
15995,21635,1.0
7848,21609,1.0
11420,21862,1.0
9131,21635,1.0
16747,21886,1.0
21457,21782,1.0
21315,21886,1.0
12559,21779,1.0
8323,21785,1.0
7354,21811,1.0
18606,21944,1.0
8190,21944,1.0
20928,21727,1.0
12068,21659,1.0
21538,21619,1.0
16307,21899,1.0
14512,21638,1.0
10952,21786,1.0
11699,21820,1.0
18848,21844,1.0
9362,21899,1.0
16931,21739,1.0
14046,21630,1.0
16378,21842,1.0
19548,21739,1.0
13620,21833,1.0
20349,21763,1.0
14581,21635,1.0
18189,21819,1.0
18270,21739,1.0
10430,21809,1.0
18224,21733,1.0
9908,21687,1.0
8091,21907,1.0
19093,21711,1.0
13471,21899,1.0
10034,21773,1.0
7090,21609,1.0
21274,21718,1.0
9164,21862,1.0
19605,21786,1.0
19804,21705,1.0
9607,21619,1.0
15183,21688,1.0
12817,21817,1.0
13688,21815,1.0
20188,21733,1.0
11300,21666,1.0
9892,21713,1.0
8517,21944,1.0
12097,21674,1.0
12158,21710,1.0
9601,21891,1.0
10464,21625,1.0
11349,21619,1.0
12891,21711,1.0
19507,21688,1.0
7947,21872,1.0
11975,21635,1.0
12065,21886,1.0
13356,21720,1.0
16576,21833,1.0
15479,21748,1.0
14656,21817,1.0
7963,21797,1.0
9121,21688,1.0
8240,21928,1.0
15596,21638,1.0
8218,21922,1.0
14879,21678,1.0
17425,21805,1.0
7620,21609,1.0
10307,21914,1.0
8579,21805,1.0
13053,21928,1.0
21476,21619,1.0
21571,21710,1.0
19224,21666,1.0
10362,21771,1.0
7968,21635,1.0
11474,21763,1.0
9570,21638,1.0
11606,21678,1.0
11211,21621,1.0
18504,21688,1.0
20428,21886,1.0
15630,21886,1.0
10599,21693,1.0
18748,21817,1.0
14969,21842,1.0
10338,21934,1.0
19431,21929,1.0
15475,21898,1.0
11754,21898,1.0
9222,21862,1.0
10209,21918,1.0
7785,21856,1.0
7441,21859,1.0
17724,21841,1.0
20434,21635,1.0
10911,21918,1.0
16141,21772,1.0
18279,21886,1.0
15715,21635,1.0
10958,21635,1.0
15882,21772,1.0
18290,21733,1.0
19540,21842,1.0
13259,21733,1.0
16817,21645,1.0
8277,21843,1.0
18731,21721,1.0
15091,21642,1.0
17549,21635,1.0
16513,21862,1.0
16797,21688,1.0
14967,21688,1.0
14350,21815,1.0
10092,21713,1.0
19505,21833,1.0
16178,21886,1.0
10624,21640,1.0
12852,21737,1.0
10177,21798,1.0
19183,21773,1.0
14914,21733,1.0
18207,21645,1.0
19860,21817,1.0
14226,21625,1.0
17315,21750,1.0
18961,21933,1.0
8706,21739,1.0
9507,21720,1.0
8993,21763,1.0
15200,21934,1.0
11018,21630,1.0
16451,21609,1.0
15904,21697,1.0
13119,21609,1.0
14958,21635,1.0
16791,21737,1.0
21136,21638,1.0
18531,21815,1.0
8206,21686,1.0
8135,21926,1.0
10344,21890,1.0
14583,21928,1.0
19120,21886,1.0
11496,21678,1.0
12356,21807,1.0
9980,21753,1.0
9450,21720,1.0
13607,21786,1.0
20101,21933,1.0
16644,21601,1.0
20842,21734,1.0
10914,21635,1.0
18759,21635,1.0
16730,21891,1.0
8071,21609,1.0
12597,21778,1.0
11354,21805,1.0
20564,21643,1.0
17669,21841,1.0
18113,21635,1.0
13483,21609,1.0
15583,21811,1.0
7840,21688,1.0
20778,21739,1.0
7054,21815,1.0
17778,21678,1.0
14421,21944,1.0
8937,21635,1.0
15941,21944,1.0
18414,21787,1.0
7238,21733,1.0
14124,21944,1.0
17670,21739,1.0
17590,21783,1.0
18520,21640,1.0
8839,21835,1.0
16224,21934,1.0
10090,21720,1.0
20396,21739,1.0
18755,21931,1.0
7664,21879,1.0
20977,21688,1.0
12044,21678,1.0
8189,21635,1.0
17859,21666,1.0
18153,21931,1.0
17100,21665,1.0
10273,21786,1.0
20215,21630,1.0
18058,21630,1.0
16571,21630,1.0
14978,21825,1.0
7323,21688,1.0
11072,21635,1.0
9273,21886,1.0
14103,21635,1.0
20451,21886,1.0
20857,21933,1.0
20958,21757,1.0
11791,21635,1.0
17722,21731,1.0
17317,21934,1.0
7827,21782,1.0
16154,21635,1.0
10638,21934,1.0
12928,21944,1.0
12385,21635,1.0
9505,21934,1.0
9611,21757,1.0
20762,21914,1.0
14627,21637,1.0
20530,21835,1.0
16293,21934,1.0
14176,21913,1.0
9176,21934,1.0
7473,21635,1.0
8965,21763,1.0
11180,21630,1.0
12863,21635,1.0
9955,21835,1.0
14532,21752,1.0
20412,21928,1.0
9171,21934,1.0
17514,21896,1.0
17744,21944,1.0
20109,21738,1.0
7540,21805,1.0
15201,21733,1.0
20389,21934,1.0
8193,21934,1.0
14873,21944,1.0
13811,21933,1.0
17665,21932,1.0
11580,21826,1.0
9941,21645,1.0
13702,21833,1.0
15390,21891,1.0
10989,21753,1.0
19673,21944,1.0
21519,21748,1.0
18901,21835,1.0
19497,21872,1.0
11658,21739,1.0
8234,21809,1.0
20068,21678,1.0
12090,21835,1.0
19830,21727,1.0
8119,21620,1.0
20438,21875,1.0
10162,21739,1.0
12498,21783,1.0
10269,21753,1.0
10422,21662,1.0
16133,21913,1.0
8871,21739,1.0
17227,21688,1.0
20724,21944,1.0
19122,21688,1.0
12004,21738,1.0
19892,21753,1.0
9086,21757,1.0
20751,21630,1.0
14093,21890,1.0
12540,21849,1.0
12578,21630,1.0
14024,21697,1.0
16521,21771,1.0
7274,21739,1.0
15431,21739,1.0
7671,21637,1.0
16795,21635,1.0
8177,21757,1.0
21422,21739,1.0
10690,21638,1.0
12216,21635,1.0
9471,21914,1.0
15060,21635,1.0
13604,21879,1.0
10232,21635,1.0
19979,21635,1.0
20975,21630,1.0
13878,21891,1.0
15700,21635,1.0
19974,21635,1.0
12956,21609,1.0
15134,21635,1.0
10109,21688,1.0
17007,21914,1.0
13078,21609,1.0
12250,21688,1.0
13416,21835,1.0
9371,21899,1.0
12303,21666,1.0
9751,21666,1.0
18108,21835,1.0
8730,21635,1.0
20227,21918,1.0
17683,21635,1.0
21297,21688,1.0
16272,21783,1.0
7148,21678,1.0
