source_poi,target_poi,delta_times
10389,15992,2.0
11420,7848,1.0
7848,9131,1.0
16747,21315,1.0
18606,8190,8.0
8190,18606,20.0
19548,13620,1.0
19548,14581,1.0
16931,18189,1.0
16931,18270,1.0
19548,10430,1.0
18270,18224,1.0
16931,19548,3.0
16931,19093,1.0
16931,13471,1.0
16931,9607,1.0
16931,12817,1.0
12817,18270,1.0
18270,9892,1.0
12158,16931,1.0
16931,10464,1.0
13356,16576,1.0
8579,18224,1.0
13053,8240,1.0
19548,19224,1.0
19548,11474,1.0
11474,19548,1.0
19548,13053,1.0
11211,12065,1.0
11211,18504,1.0
10209,9222,2.0
10209,7785,1.0
7785,9222,1.0
11754,7441,1.0
10911,16141,1.0
16141,17724,1.0
10958,17724,1.0
10911,17724,1.0
8579,18207,1.0
19860,15596,1.0
9507,8706,1.0
8706,8993,1.0
20428,12065,1.0
12065,15630,6.0
11018,16451,1.0
16451,15904,1.0
15904,13119,1.0
13119,14958,1.0
12065,16791,1.0
16791,20428,1.0
8706,9507,3.0
8706,14226,3.0
14226,15596,1.0
8206,18207,1.0
8706,14583,1.0
20428,19120,1.0
12356,18207,1.0
15630,18207,3.0
9980,18207,1.0
20842,12065,1.0
8071,12065,1.0
12065,18207,2.0
11354,20564,1.0
18113,18207,1.0
18207,13483,1.0
18207,20428,2.0
12065,11496,2.0
20428,11496,1.0
7840,18207,2.0
15630,20778,1.0
17778,15630,1.0
18153,20977,1.0
14103,20451,1.0
20958,11791,1.0
17722,17317,1.0
17317,7827,1.0
7827,16154,1.0
16154,10638,3.0
12385,9505,3.0
9505,9611,1.0
20530,16293,2.0
16293,14627,2.0
14627,14176,2.0
7473,14627,1.0
12863,9955,10.0
14532,11072,1.0
20412,9171,2.0
17514,14124,1.0
14124,8190,9.0
20389,12928,1.0
19673,21519,1.0
20724,14124,7.0
15431,7671,1.0
15060,13604,1.0
8730,18108,14.0
17683,21297,2.0
7982,21356,1.0
8730,8165,1.0
20044,20724,3.0
20724,11964,1.0
11964,13248,1.0
17683,19328,1.0
16966,17683,1.0
20227,16131,1.0
20452,12349,2.0
12988,12872,2.0
12872,18189,1.0
9875,13607,1.0
14758,11474,1.0
7340,7883,1.0
17480,12526,1.0
12107,17871,1.0
7321,11203,2.0
15385,8038,3.0
12526,7321,1.0
10584,12805,1.0
12805,19154,1.0
9437,20093,1.0
14124,19154,10.0
7249,20044,1.0
11507,10956,1.0
10173,19873,1.0
8876,14087,1.0
14087,18155,1.0
9947,10425,1.0
18836,7665,1.0
19242,20885,1.0
21414,10605,1.0
15455,16983,1.0
20314,14480,4.0
18367,18114,1.0
8634,9237,1.0
18367,11804,2.0
13637,11804,3.0
9240,20724,2.0
10863,10122,1.0
6961,10483,3.0
16639,20831,2.0
20831,16639,6.0
15479,16511,1.0
17426,8517,1.0
15926,7249,4.0
16526,8880,1.0
18399,8096,1.0
8096,20585,1.0
8139,18519,1.0
18519,16568,1.0
16568,18519,1.0
15797,14025,1.0
14025,17146,1.0
7169,8837,1.0
8837,7048,1.0
11314,19458,3.0
17293,16760,1.0
8837,13975,4.0
20889,7883,1.0
7883,15705,3.0
16963,11927,1.0
9766,11630,1.0
7963,21159,1.0
20450,10372,1.0
9005,12065,1.0
20582,9252,2.0
17481,7007,1.0
20582,10770,1.0
12766,10334,1.0
17260,16708,1.0
16747,13369,1.0
7968,15739,11.0
18189,16346,1.0
9570,16346,1.0
17512,19804,1.0
17467,16346,1.0
9688,17512,1.0
17512,12003,1.0
17857,15498,1.0
15498,7835,1.0
19364,17410,1.0
19673,14124,2.0
20902,20724,2.0
13668,16543,1.0
20902,10746,1.0
9171,8880,1.0
20902,18606,9.0
8562,18714,1.0
18714,11863,1.0
12766,18606,30.0
20004,18718,1.0
7364,17933,1.0
8007,9546,2.0
14421,19673,2.0
18788,9873,1.0
18531,12031,1.0
19242,14907,1.0
15684,13893,2.0
7968,15684,1.0
12065,11000,1.0
8665,7407,1.0
7724,16747,4.0
8365,8562,1.0
21374,7724,1.0
11626,15297,1.0
15297,13342,1.0
15624,17501,1.0
16375,9238,8.0
8341,19410,1.0
8341,17501,1.0
17501,19410,1.0
19410,9238,1.0
9238,16404,1.0
16404,11508,1.0
19419,12061,1.0
12061,9238,2.0
9238,20069,6.0
10377,19655,1.0
16747,18222,2.0
11112,19410,1.0
18983,18191,1.0
18191,17975,1.0
19673,9484,2.0
9229,14036,1.0
19673,14421,2.0
16098,8517,1.0
19752,14454,1.0
17081,14627,1.0
19235,12759,1.0
13847,10326,1.0
7080,17222,1.0
17688,16299,3.0
9240,18606,9.0
16493,14669,1.0
12855,16352,1.0
8517,17693,3.0
17693,9298,1.0
17246,8736,1.0
14046,8736,1.0
8236,20163,2.0
8579,8834,1.0
19315,8839,5.0
13746,20069,1.0
17920,16224,1.0
14904,18744,1.0
21268,10952,1.0
10952,13319,1.0
