catg,time,delta_times
21635,22065,318.0
21635,22066,231.0
21918,22053,116.0
21635,22017,332.0
21609,22037,47.0
21609,22065,86.0
21862,22090,15.0
21609,22093,45.0
21609,22078,59.0
21635,22081,113.0
21886,21954,15.0
21782,21990,7.0
21635,22038,246.0
21886,22060,56.0
21886,22061,51.0
21862,22114,10.0
21779,22082,25.0
21785,22042,1.0
21811,22087,7.0
21944,22051,81.0
21944,22053,125.0
21944,22104,35.0
21944,22106,39.0
21785,22018,1.0
21727,22111,16.0
21659,21994,14.0
21619,22109,3.0
21899,22093,11.0
21638,22044,24.0
21786,22086,11.0
21820,22094,263.0
21844,21995,1.0
21899,22114,35.0
21739,22008,111.0
21630,22060,33.0
21842,22084,16.0
21739,21984,180.0
21833,21988,5.0
21739,22036,51.0
21763,22068,23.0
21739,21960,147.0
21739,22015,35.0
21635,22018,231.0
21739,22032,165.0
21739,22056,124.0
21819,22059,4.0
21739,22038,38.0
21739,22041,21.0
21809,22060,4.0
21739,21991,29.0
21733,21995,14.0
21739,22013,38.0
21739,22031,247.0
21739,22055,196.0
21687,22066,1.0
21739,21959,252.0
21907,22021,2.0
21711,22035,2.0
21739,21983,244.0
21739,22006,135.0
21899,22017,31.0
21773,22092,1.0
21609,22108,66.0
21718,21959,51.0
21862,22014,21.0
21739,21961,78.0
21739,22007,198.0
21786,22079,3.0
21705,21963,3.0
21619,22060,8.0
21688,22084,65.0
21817,21965,7.0
21739,21966,26.0
21815,22061,16.0
21739,21962,72.0
21739,22057,47.0
21733,22109,15.0
21666,22060,18.0
21739,22009,71.0
21713,22012,3.0
21944,22054,96.0
21674,22110,7.0
21739,22061,31.0
21739,21987,48.0
21710,22011,11.0
21739,22059,55.0
21891,22086,8.0
21739,21985,87.0
21625,22060,7.0
21619,22061,7.0
21739,22083,9.0
21711,22086,3.0
21739,22037,44.0
21688,22041,112.0
21872,22011,4.0
21635,22084,234.0
21886,22015,40.0
21720,22059,24.0
21833,22060,2.0
21748,22107,18.0
21817,22040,2.0
21797,21982,10.0
21797,22011,4.0
21688,22017,93.0
21928,22043,10.0
21944,21968,67.0
21638,21969,14.0
21922,22092,9.0
21678,22098,6.0
21805,22020,2.0
21609,22036,57.0
21739,21982,179.0
21914,22073,14.0
21805,22011,5.0
21733,22011,28.0
21928,22036,2.0
21928,22042,4.0
21739,21990,32.0
21619,22035,4.0
21638,22041,33.0
21710,22065,11.0
21666,22011,18.0
21739,22066,11.0
21771,22107,16.0
21928,21970,4.0
21678,22017,51.0
21739,22030,174.0
21635,22087,374.0
21928,21971,6.0
21763,21988,9.0
21638,21994,19.0
21678,22089,33.0
21886,22113,90.0
21815,21994,15.0
21621,22080,8.0
21886,22085,49.0
21621,21994,19.0
21688,21994,74.0
21638,22042,18.0
21886,22065,85.0
21621,22067,18.0
21621,21996,8.0
21886,22108,51.0
21621,22050,4.0
21693,21964,5.0
21817,21993,4.0
21842,22018,26.0
21934,22034,18.0
21929,21988,1.0
21929,21968,2.0
21898,21962,44.0
21898,22052,41.0
21898,22023,13.0
21862,22031,67.0
21918,21958,73.0
21862,21958,70.0
21918,21982,83.0
21856,21983,18.0
21862,21983,68.0
21898,22053,69.0
21859,22053,52.0
21918,22030,101.0
21862,22032,47.0
21862,21961,48.0
21841,22022,2.0
21841,21958,4.0
21862,22061,25.0
21635,21969,314.0
21862,22016,27.0
21841,22031,1.0
21841,21983,2.0
21841,22006,2.0
21841,22030,1.0
21918,22042,30.0
21772,22042,23.0
21841,22042,3.0
21841,22005,1.0
21886,21985,43.0
21635,22043,134.0
21841,21969,2.0
21918,22065,46.0
21841,21952,1.0
21841,22112,2.0
21772,22037,13.0
21733,22036,28.0
21842,22088,39.0
21733,22018,19.0
21645,22055,44.0
21843,21988,3.0
21721,22041,1.0
21642,22008,15.0
21642,21984,24.0
21642,21958,16.0
21642,22007,24.0
21635,21968,323.0
21642,21983,33.0
21642,22111,1.0
21642,21963,23.0
21635,22083,246.0
21862,22013,29.0
21862,22059,28.0
21688,22015,75.0
21688,22044,26.0
21688,21991,86.0
21642,21965,7.0
21635,22064,330.0
21944,22103,47.0
21815,22060,28.0
21713,22044,7.0
21833,21966,4.0
21886,22069,32.0
21640,22019,6.0
21737,22070,2.0
21798,22036,7.0
21713,22060,8.0
21886,22112,92.0
21773,21964,2.0
21733,21988,19.0
21638,22012,6.0
21805,22019,4.0
21645,22020,7.0
21817,22036,6.0
21750,22106,2.0
21933,21947,38.0
21720,22036,19.0
21739,22039,30.0
21763,22060,16.0
21886,22080,47.0
21886,22082,36.0
21886,22114,77.0
21934,21993,35.0
21625,22036,8.0
21630,22103,1.0
21609,22105,53.0
21697,22107,5.0
21635,22108,237.0
21737,22113,12.0
21886,21947,59.0
21720,21964,18.0
21625,21964,7.0
21638,22018,19.0
21625,22011,6.0
21645,22047,2.0
21773,22036,1.0
21922,22091,9.0
21686,22097,7.0
21645,22098,1.0
21926,22091,6.0
21645,21971,20.0
21720,21988,19.0
21890,21994,20.0
21638,22017,12.0
21928,22037,2.0
21645,22064,10.0
21645,22095,5.0
21886,22066,60.0
21886,22068,53.0
21645,21970,21.0
21645,22018,17.0
21678,22068,20.0
21720,21965,8.0
21807,21972,1.0
21645,21976,3.0
21645,22001,1.0
21645,21997,5.0
21638,22037,1.0
21645,22075,4.0
21645,21948,8.0
21753,21993,279.0
21645,21998,3.0
21720,22012,27.0
21786,22021,4.0
21890,22066,17.0
21933,22032,119.0
21750,22110,7.0
21601,22088,3.0
21645,21949,4.0
21734,22107,2.0
21635,21964,302.0
21645,21993,14.0
21635,21970,254.0
21638,21970,14.0
21891,21989,9.0
21609,22069,38.0
21778,22088,4.0
21645,21947,9.0
21645,22072,2.0
21886,21983,51.0
21805,22037,4.0
21643,22038,1.0
21886,22007,29.0
21841,22092,5.0
21635,21971,116.0
21645,21972,12.0
21933,22042,82.0
21933,22054,228.0
21645,22061,28.0
21609,22064,77.0
21886,22111,60.0
21645,22042,12.0
21811,22042,5.0
21886,22030,90.0
21678,21994,45.0
21645,22016,10.0
21635,22011,323.0
21645,22022,7.0
21635,22035,279.0
21645,22065,11.0
21645,21994,11.0
21645,22040,18.0
21886,22032,41.0
21678,22035,30.0
21688,21968,87.0
21645,21969,9.0
21886,21982,94.0
21933,22030,281.0
21933,22006,272.0
21645,22048,2.0
21886,22054,84.0
21815,22041,10.0
21678,22085,39.0
21678,22112,44.0
21944,22011,58.0
21635,21994,217.0
21787,22093,3.0
21666,21974,5.0
21944,21992,59.0
21733,21963,31.0
21944,21969,57.0
21944,22043,43.0
21739,21958,146.0
21783,21947,15.0
21640,21970,2.0
21835,22068,21.0
21934,22042,37.0
21720,22114,30.0
21931,22084,5.0
21879,22113,25.0
21688,22086,80.0
21678,22084,23.0
21635,22107,215.0
21666,22070,71.0
21688,22085,58.0
21665,22114,2.0
21786,22087,3.0
21630,22058,35.0
21630,22019,29.0
21630,21993,27.0
21825,22041,1.0
21688,22042,111.0
21635,22082,206.0
21635,22106,171.0
21933,21954,2.0
21757,22040,18.0
21635,22042,244.0
21731,22058,2.0
21934,22060,23.0
21782,22062,1.0
21635,22062,306.0
21934,22063,30.0
21944,22074,26.0
21934,22085,26.0
21757,22088,7.0
21914,21962,24.0
21637,21982,8.0
21835,21989,21.0
21934,21990,35.0
21637,21993,2.0
21913,21996,5.0
21637,22011,5.0
21934,22019,11.0
21637,22031,3.0
21635,22055,96.0
21637,22059,6.0
21637,22091,2.0
21763,21991,6.0
21630,22016,18.0
21635,21986,293.0
21835,21986,11.0
21752,22080,3.0
21635,22085,289.0
21928,21962,3.0
21934,21963,22.0
21896,22027,15.0
21944,22028,85.0
21944,22105,39.0
21944,22032,53.0
21738,22039,4.0
21944,22099,37.0
21944,22102,41.0
21710,22008,18.0
21733,22044,15.0
