user,catg,delta_times
0,21635,5.0
0,21918,1.0
0,21609,4.0
0,21862,2.0
0,21886,3.0
0,21782,1.0
1,21779,1.0
1,21785,2.0
1,21811,1.0
1,21944,4.0
1,21727,1.0
1,21659,1.0
1,21619,1.0
1,21899,2.0
1,21638,1.0
1,21786,1.0
1,21820,1.0
1,21844,1.0
2,21739,73.0
2,21630,1.0
2,21842,1.0
2,21833,1.0
2,21763,1.0
2,21635,2.0
2,21819,1.0
2,21809,1.0
2,21733,2.0
2,21687,1.0
2,21907,1.0
2,21711,2.0
2,21899,1.0
2,21773,1.0
2,21609,1.0
2,21718,1.0
2,21862,1.0
2,21786,1.0
2,21705,1.0
2,21619,2.0
2,21688,2.0
2,21817,1.0
2,21815,1.0
2,21666,1.0
2,21713,1.0
2,21944,1.0
2,21674,1.0
2,21710,1.0
2,21891,1.0
2,21625,1.0
2,21872,1.0
3,21886,5.0
3,21720,1.0
3,21833,1.0
3,21748,1.0
3,21817,2.0
3,21797,2.0
3,21688,2.0
3,21928,6.0
3,21944,1.0
3,21638,5.0
3,21922,1.0
3,21678,3.0
3,21805,2.0
3,21609,1.0
3,21739,24.0
3,21914,1.0
3,21733,1.0
3,21619,1.0
3,21710,1.0
3,21666,1.0
3,21771,1.0
3,21635,1.0
3,21763,1.0
3,21815,1.0
3,21621,5.0
3,21693,1.0
4,21842,1.0
4,21934,1.0
4,21929,2.0
4,21898,1.0
5,21898,3.0
5,21862,8.0
5,21918,7.0
5,21856,1.0
5,21859,1.0
5,21841,14.0
5,21635,3.0
5,21772,1.0
5,21886,1.0
6,21772,1.0
6,21733,2.0
6,21842,1.0
6,21645,1.0
6,21843,1.0
6,21721,1.0
7,21642,8.0
7,21635,4.0
7,21862,2.0
7,21688,3.0
7,21944,1.0
8,21815,1.0
8,21713,2.0
8,21833,1.0
8,21635,1.0
8,21886,1.0
8,21640,1.0
8,21737,1.0
8,21798,1.0
9,21886,40.0
9,21773,2.0
9,21733,1.0
9,21638,8.0
9,21805,2.0
9,21645,34.0
9,21817,1.0
9,21625,6.0
9,21750,3.0
9,21933,7.0
9,21739,27.0
9,21720,6.0
9,21763,1.0
9,21934,1.0
9,21630,1.0
9,21609,4.0
9,21697,1.0
9,21635,8.0
9,21737,1.0
9,21815,3.0
9,21922,1.0
9,21686,1.0
9,21926,1.0
9,21890,2.0
9,21928,1.0
9,21678,6.0
9,21807,1.0
9,21753,1.0
9,21786,1.0
9,21601,1.0
9,21734,1.0
9,21891,1.0
9,21778,1.0
9,21643,1.0
9,21841,1.0
9,21811,1.0
9,21688,1.0
10,21944,1.0
10,21635,1.0
11,21944,1.0
12,21787,1.0
12,21666,1.0
12,21944,2.0
12,21733,1.0
13,21944,1.0
13,21739,2.0
13,21783,1.0
13,21640,1.0
13,21835,1.0
13,21934,1.0
13,21720,1.0
13,21931,2.0
13,21879,1.0
13,21688,2.0
13,21678,1.0
13,21635,1.0
13,21666,1.0
13,21665,1.0
13,21786,1.0
13,21630,3.0
13,21825,1.0
14,21688,1.0
14,21635,8.0
14,21886,2.0
14,21933,1.0
14,21757,2.0
14,21731,1.0
14,21934,6.0
14,21782,1.0
14,21944,6.0
14,21914,1.0
14,21637,6.0
14,21835,2.0
14,21913,1.0
14,21763,1.0
14,21630,1.0
14,21752,1.0
14,21928,1.0
14,21896,1.0
14,21738,1.0
15,21710,1.0
15,21733,1.0
15,21805,1.0
16,21944,2.0
16,21733,1.0
16,21934,2.0
17,21944,2.0
17,21933,1.0
18,21932,1.0
19,21826,1.0
19,21944,6.0
19,21645,2.0
19,21833,5.0
19,21891,2.0
19,21753,1.0
19,21748,1.0
19,21835,1.0
19,21872,1.0
19,21739,1.0
19,21809,1.0
20,21678,1.0
20,21835,1.0
20,21727,1.0
20,21620,3.0
20,21875,1.0
20,21739,5.0
20,21783,1.0
20,21753,2.0
20,21944,13.0
20,21662,3.0
20,21913,1.0
20,21688,2.0
20,21738,1.0
20,21757,2.0
20,21630,3.0
20,21890,1.0
20,21849,1.0
20,21697,1.0
20,21771,1.0
20,21637,1.0
20,21635,1.0
21,21638,1.0
21,21635,2.0
21,21914,1.0
21,21879,1.0
21,21944,1.0
22,21635,5.0
22,21630,1.0
22,21891,1.0
22,21609,2.0
22,21688,3.0
22,21914,1.0
22,21835,1.0
22,21899,1.0
23,21666,4.0
23,21835,3.0
23,21635,13.0
23,21918,12.0
23,21688,7.0
23,21783,1.0
23,21678,3.0
23,21748,1.0
23,21836,2.0
23,21642,2.0
23,21886,2.0
23,21944,6.0
23,21710,2.0
23,21720,1.0
23,21862,5.0
23,21609,2.0
23,21913,1.0
23,21718,1.0
24,21652,1.0
24,21723,2.0
24,21898,1.0
25,21703,1.0
25,21868,1.0
25,21710,2.0
25,21934,7.0
25,21666,2.0
25,21642,1.0
25,21815,3.0
25,21635,1.0
25,21674,1.0
25,21819,2.0
25,21820,1.0
25,21662,2.0
25,21786,1.0
25,21879,1.0
25,21892,2.0
25,21913,1.0
25,21763,1.0
25,21932,1.0
25,21753,1.0
25,21609,1.0
25,21739,1.0
25,21914,1.0
25,21842,1.0
26,21688,9.0
26,21635,10.0
26,21720,3.0
26,21609,1.0
26,21713,1.0
26,21944,4.0
26,21933,1.0
26,21868,1.0
26,21820,1.0
26,21899,3.0
26,21763,1.0
