user,poi,delta_times
0,10389,1.0
0,15992,1.0
0,18696,1.0
0,15995,1.0
0,7848,4.0
0,11420,2.0
0,9131,2.0
0,16747,2.0
0,21457,1.0
0,21315,1.0
1,12559,1.0
1,8323,2.0
1,7354,1.0
1,18606,2.0
1,8190,2.0
1,20928,1.0
1,12068,1.0
1,21538,1.0
1,16307,1.0
1,14512,1.0
1,10952,1.0
1,11699,1.0
1,18848,1.0
1,9362,1.0
2,16931,50.0
2,14046,1.0
2,16378,1.0
2,19548,11.0
2,13620,1.0
2,20349,1.0
2,14581,1.0
2,18189,1.0
2,18270,12.0
2,10430,1.0
2,18224,1.0
2,9908,1.0
2,8091,1.0
2,19093,1.0
2,13471,1.0
2,10034,1.0
2,7090,1.0
2,21274,1.0
2,9164,1.0
2,19605,1.0
2,19804,1.0
2,9607,1.0
2,15183,1.0
2,12817,1.0
2,13688,1.0
2,20188,1.0
2,11300,1.0
2,9892,1.0
2,8517,1.0
2,12097,1.0
2,12158,1.0
2,9601,1.0
2,10464,1.0
2,11349,1.0
2,12891,1.0
2,19507,1.0
2,7947,1.0
2,11975,1.0
3,12065,3.0
3,13356,1.0
3,16576,1.0
3,15479,1.0
3,14656,1.0
3,7963,2.0
3,9121,1.0
3,8240,4.0
3,8517,1.0
3,15596,3.0
3,8218,1.0
3,14879,2.0
3,17425,1.0
3,7620,1.0
3,19548,24.0
3,10307,1.0
3,8579,1.0
3,18224,1.0
3,13053,2.0
3,21476,1.0
3,21571,1.0
3,19224,1.0
3,10362,1.0
3,7968,1.0
3,11474,1.0
3,9570,2.0
3,11606,1.0
3,13688,1.0
3,11211,5.0
3,18504,1.0
3,20428,1.0
3,15630,1.0
3,10599,1.0
3,18748,1.0
4,14969,1.0
4,10338,1.0
4,19431,2.0
4,15475,1.0
5,11754,3.0
5,9222,8.0
5,10209,4.0
5,7785,1.0
5,7441,1.0
5,17724,14.0
5,20434,1.0
5,10911,3.0
5,16141,1.0
5,18279,1.0
5,15715,1.0
5,10958,1.0
6,15882,1.0
6,18290,1.0
6,19540,1.0
6,13259,1.0
6,16817,1.0
6,8277,1.0
6,18731,1.0
7,15091,8.0
7,17549,2.0
7,11975,2.0
7,16513,2.0
7,16797,2.0
7,14967,1.0
7,8517,1.0
8,14350,1.0
8,10092,1.0
8,19505,1.0
8,7968,1.0
8,16178,1.0
8,10624,1.0
8,12852,1.0
8,10177,1.0
8,9892,1.0
9,15630,18.0
9,19183,2.0
9,14914,1.0
9,15596,6.0
9,8579,1.0
9,18207,34.0
9,19860,1.0
9,14226,6.0
9,17315,3.0
9,18961,6.0
9,8706,26.0
9,9507,5.0
9,8993,1.0
9,20428,7.0
9,12065,14.0
9,15200,1.0
9,11018,1.0
9,16451,1.0
9,15904,1.0
9,13119,1.0
9,14958,1.0
9,16791,1.0
9,21136,1.0
9,18531,1.0
9,8218,1.0
9,8206,1.0
9,8135,1.0
9,10344,2.0
9,14583,1.0
9,19120,1.0
9,11496,3.0
9,12356,1.0
9,9980,1.0
9,9450,1.0
9,13607,1.0
9,20101,1.0
9,16644,1.0
9,20842,1.0
9,10914,4.0
9,7968,1.0
9,18759,1.0
9,9570,1.0
9,16730,1.0
9,8071,1.0
9,12597,1.0
9,11354,1.0
9,20564,1.0
9,17669,1.0
9,18113,1.0
9,13483,1.0
9,15583,1.0
9,14879,1.0
9,7840,1.0
9,20778,1.0
9,13688,1.0
9,7054,1.0
9,17778,2.0
10,14421,1.0
10,8937,1.0
11,15941,1.0
12,18414,1.0
12,19224,1.0
12,8517,2.0
12,7238,1.0
13,14124,1.0
13,17670,1.0
13,17590,1.0
13,18520,1.0
13,8839,1.0
13,16224,1.0
13,10090,1.0
13,20396,1.0
13,18755,1.0
13,7664,1.0
13,20977,2.0
13,12044,1.0
13,8189,1.0
13,17859,1.0
13,18153,1.0
13,17100,1.0
13,10273,1.0
13,20215,1.0
13,18058,1.0
13,16571,1.0
13,14978,1.0
14,7323,1.0
14,11072,2.0
14,9273,1.0
14,14103,1.0
14,20451,1.0
14,20857,1.0
14,20958,1.0
14,11791,1.0
14,17722,1.0
14,17317,1.0
14,7827,1.0
14,16154,1.0
14,10638,1.0
14,12928,1.0
14,12385,1.0
14,9505,1.0
14,9611,1.0
14,20762,1.0
14,14627,6.0
14,20530,1.0
14,16293,1.0
14,14176,1.0
14,9176,1.0
14,7473,1.0
14,8965,1.0
14,11180,1.0
14,12863,1.0
14,9955,1.0
14,14532,1.0
14,20412,1.0
14,9171,1.0
14,17514,1.0
14,14124,2.0
14,17744,2.0
14,20109,1.0
14,8190,1.0
15,12158,1.0
15,18290,1.0
15,7540,1.0
16,14124,1.0
16,15201,1.0
16,20389,1.0
16,12928,1.0
16,8193,1.0
17,14873,2.0
17,13811,1.0
18,17665,1.0
19,11580,1.0
19,14873,5.0
19,9941,2.0
19,13702,5.0
19,15390,2.0
19,10989,1.0
19,19673,1.0
19,21519,1.0
19,18901,1.0
19,19497,1.0
19,11658,1.0
19,8234,1.0
20,20068,1.0
20,12090,1.0
20,19830,1.0
20,8119,3.0
20,20438,1.0
20,10162,1.0
20,12498,1.0
20,10269,1.0
20,18606,6.0
20,10422,3.0
20,16133,1.0
20,8871,1.0
20,14124,2.0
20,17227,1.0
20,20724,4.0
20,19122,1.0
20,12004,1.0
20,19892,1.0
20,9086,1.0
20,20751,2.0
20,14093,1.0
20,12540,1.0
20,12578,1.0
20,14024,1.0
20,16521,1.0
20,7274,1.0
20,15431,1.0
20,7671,1.0
20,16795,1.0
20,8177,1.0
20,8190,1.0
20,21422,1.0
21,10690,1.0
21,12216,1.0
21,9471,1.0
21,15060,1.0
21,13604,1.0
21,14124,1.0
22,10232,1.0
22,19979,1.0
22,20975,1.0
22,13878,1.0
22,15700,1.0
22,19974,1.0
22,12956,1.0
22,15134,1.0
22,10109,1.0
22,17007,1.0
22,13078,1.0
22,12250,2.0
22,13416,1.0
22,9371,1.0
23,12303,2.0
23,9751,1.0
23,18108,3.0
23,8730,2.0
23,20227,12.0
23,17683,10.0
23,21297,7.0
23,16272,1.0
23,7148,1.0
23,7265,1.0
23,7982,1.0
23,21356,1.0
23,8165,2.0
23,19328,2.0
23,13754,2.0
23,20044,3.0
23,20724,1.0
23,11964,1.0
23,13248,2.0
23,10683,1.0
23,14124,2.0
23,13345,1.0
23,12576,4.0
23,13296,1.0
23,16966,1.0
23,10800,1.0
23,16131,1.0
23,11228,1.0
24,10766,1.0
24,17139,2.0
24,19719,1.0
25,20452,1.0
25,12349,1.0
25,20393,1.0
25,21458,6.0
25,13569,1.0
25,18110,1.0
25,7340,3.0
25,15200,1.0
25,12988,1.0
25,12872,1.0
25,18189,2.0
25,8563,1.0
25,19224,1.0
25,19482,1.0
25,9875,1.0
25,13607,1.0
25,12119,1.0
25,7883,2.0
25,14758,1.0
25,11474,1.0
25,19749,1.0
25,9243,1.0
25,9769,1.0
25,14257,1.0
25,18206,1.0
25,11374,1.0
25,16301,1.0
26,12526,9.0
26,7321,6.0
26,16010,1.0
26,17480,3.0
26,11314,1.0
26,12581,1.0
26,11136,1.0
26,18606,1.0
26,12107,1.0
26,17871,1.0
26,19790,1.0
26,14759,1.0
26,11203,3.0
26,10314,1.0
26,13549,1.0
26,10834,1.0
26,15385,1.0
26,8038,1.0
26,9503,1.0
26,17175,1.0
26,19154,2.0
26,14449,1.0
26,19458,2.0
26,20427,1.0
26,12766,1.0
26,7850,1.0
26,10584,1.0
26,12805,1.0
26,17289,1.0
26,9437,1.0
26,20093,1.0
27,8064,1.0
27,21081,1.0
27,9727,1.0
28,7193,1.0
28,18155,1.0
28,21265,1.0
28,17197,1.0
29,21582,1.0
29,16688,1.0
29,14124,2.0
29,19154,1.0
30,14869,1.0
30,18108,1.0
30,7925,2.0
30,21270,1.0
30,13881,1.0
30,8730,1.0
30,12235,3.0
30,11506,1.0
30,21081,1.0
30,19012,1.0
30,16073,1.0
30,7249,1.0
30,20044,1.0
31,15070,1.0
32,20423,1.0
32,13471,2.0
32,11507,1.0
32,10956,1.0
32,19185,1.0
32,14954,1.0
32,18189,1.0
32,20312,3.0
32,10173,1.0
32,19873,1.0
32,8876,1.0
32,14087,1.0
32,18155,1.0
32,12710,1.0
32,17447,1.0
32,16957,1.0
33,14158,1.0
33,16417,1.0
33,13343,1.0
33,11800,1.0
33,11086,1.0
33,12668,1.0
33,20428,1.0
33,21483,1.0
33,21159,1.0
34,11422,1.0
34,18846,1.0
35,11027,1.0
35,21052,1.0
35,15123,1.0
35,9947,1.0
35,10425,1.0
35,18836,9.0
35,16180,2.0
35,7665,1.0
35,20187,1.0
35,19718,1.0
35,10815,1.0
35,9790,1.0
36,19242,9.0
36,20885,2.0
36,14453,1.0
36,9507,1.0
36,13912,1.0
36,8517,2.0
36,17860,1.0
36,10344,1.0
36,18531,1.0
36,7568,1.0
37,7690,1.0
37,21414,1.0
37,10605,1.0
37,6956,1.0
37,19655,1.0
37,7646,1.0
37,8145,2.0
37,15455,1.0
37,16983,1.0
37,15537,1.0
37,20530,1.0
37,12933,1.0
38,9766,1.0
39,17699,1.0
39,14046,1.0
39,18290,1.0
39,13641,1.0
39,18224,1.0
39,10185,1.0
39,14796,1.0
39,18189,1.0
39,8517,3.0
39,10430,1.0
39,14045,2.0
39,16494,1.0
39,7107,1.0
39,11739,1.0
39,13688,1.0
39,10876,1.0
39,9892,1.0
39,16093,1.0
39,10599,1.0
39,11349,1.0
39,18270,1.0
39,16931,2.0
39,19673,1.0
39,7947,1.0
39,7340,1.0
40,13366,1.0
40,20314,2.0
40,14480,1.0
40,13313,2.0
40,7074,1.0
40,9546,1.0
40,17563,1.0
41,8831,1.0
41,10924,2.0
41,20724,2.0
41,18367,8.0
41,13637,34.0
41,9918,5.0
41,13657,1.0
41,21439,2.0
41,18114,1.0
41,15470,1.0
41,11459,3.0
41,20212,1.0
41,13318,1.0
41,8634,1.0
41,9237,1.0
41,17944,2.0
41,18874,1.0
41,11804,8.0
41,19323,1.0
41,9877,1.0
41,7451,1.0
41,11074,1.0
41,9240,1.0
41,20418,1.0
41,12366,1.0
42,14873,1.0
43,7737,1.0
43,8137,1.0
43,7627,1.0
43,9546,2.0
43,10863,1.0
43,10122,1.0
44,17153,1.0
44,17323,1.0
44,13084,2.0
44,19124,1.0
44,6961,4.0
44,10483,1.0
44,19866,1.0
44,8449,1.0
44,13262,1.0
44,7572,1.0
44,10211,1.0
44,14790,1.0
45,20004,1.0
45,12278,2.0
45,14446,1.0
45,15846,1.0
46,16639,13.0
46,20831,18.0
46,13367,1.0
46,21371,1.0
46,19224,1.0
46,15479,2.0
46,16511,2.0
46,7005,1.0
46,15671,1.0
46,7968,1.0
47,16854,1.0
47,12781,1.0
47,8126,1.0
47,11474,1.0
47,7840,1.0
47,19856,1.0
47,10344,1.0
47,17426,1.0
47,8517,3.0
47,19799,1.0
47,7498,1.0
47,20425,1.0
47,20885,1.0
47,17017,1.0
47,19673,1.0
48,8880,2.0
48,11580,1.0
48,15926,1.0
48,7249,3.0
48,10711,1.0
48,9086,1.0
48,12030,1.0
48,9404,1.0
48,14787,1.0
48,13526,1.0
48,11470,2.0
48,12523,1.0
48,18585,1.0
48,19674,2.0
48,16526,1.0
49,17946,1.0
49,8911,1.0
49,21154,1.0
49,13703,1.0
49,12141,1.0
49,7847,1.0
49,15739,1.0
49,18008,1.0
49,9455,1.0
49,15184,1.0
49,8974,1.0
49,15074,1.0
49,7968,1.0
49,7143,1.0
49,8957,2.0
49,19500,1.0
49,16843,1.0
49,10599,1.0
49,8539,1.0
50,7360,1.0
50,9959,1.0
50,7462,1.0
51,20994,27.0
51,16400,3.0
51,19673,1.0
52,20560,2.0
52,14627,4.0
52,16307,1.0
52,20530,1.0
52,9362,2.0
52,17878,1.0
52,7273,1.0
52,19171,1.0
53,19688,1.0
53,18399,1.0
53,8096,1.0
53,20585,1.0
53,8139,1.0
53,18519,3.0
53,16568,2.0
53,15797,1.0
53,14025,1.0
53,17146,1.0
54,19154,2.0
54,10225,2.0
54,17969,1.0
54,7169,1.0
54,8837,3.0
54,15695,5.0
54,17293,8.0
54,7048,1.0
54,14215,1.0
54,15842,5.0
54,11314,1.0
54,19458,2.0
54,16760,1.0
54,16963,2.0
54,11822,1.0
54,13975,1.0
54,20889,1.0
54,7883,1.0
54,15705,1.0
54,7031,1.0
54,11927,1.0
55,20067,1.0
55,21226,1.0
55,15402,1.0
55,16178,1.0
55,15315,1.0
55,9766,1.0
55,11630,1.0
55,15671,1.0
55,10895,1.0
55,7963,1.0
55,21159,1.0
55,8517,1.0
55,9163,1.0
55,14520,1.0
55,7762,1.0
55,20450,1.0
55,10372,1.0
55,12561,1.0
55,10678,1.0
55,9005,1.0
55,12065,1.0
55,20009,1.0
55,16408,1.0
55,7049,1.0
55,8689,1.0
55,15598,1.0
55,12391,1.0
55,18118,1.0
55,17060,1.0
55,19682,1.0
56,12262,2.0
56,18110,1.0
56,20582,22.0
56,9252,5.0
56,20904,1.0
56,16108,2.0
56,8517,2.0
56,20823,1.0
56,11641,1.0
56,15739,1.0
56,9646,1.0
56,13471,1.0
56,9980,4.0
56,11474,1.0
56,17481,1.0
56,7007,1.0
56,17219,1.0
56,15207,1.0
56,10770,1.0
56,17809,1.0
57,19945,1.0
58,15299,1.0
58,20636,3.0
58,13798,1.0
58,10148,2.0
58,7210,1.0
58,20576,1.0
58,12075,1.0
58,11902,2.0
58,10140,1.0
58,8716,1.0
58,12766,2.0
58,10334,1.0
58,18606,1.0
58,17260,1.0
58,16708,1.0
58,12606,1.0
58,16747,6.0
58,13369,1.0
58,20257,2.0
58,18399,2.0
58,7944,1.0
58,11198,2.0
58,20385,1.0
58,16154,1.0
59,9179,1.0
59,19744,1.0
59,19675,1.0
59,16346,23.0
59,17512,19.0
59,9451,1.0
59,14862,3.0
59,7968,2.0
59,15739,1.0
59,18189,2.0
59,9329,1.0
59,19970,1.0
59,18872,1.0
59,8248,1.0
59,18143,1.0
59,18875,1.0
59,9570,1.0
59,8853,1.0
59,19804,1.0
59,12737,1.0
59,17467,1.0
59,12085,1.0
59,14504,1.0
59,14239,1.0
59,19712,1.0
59,16308,1.0
59,9688,1.0
59,12003,1.0
59,20492,1.0
59,7835,2.0
59,17857,1.0
59,15498,1.0
59,7776,1.0
59,9093,1.0
59,8997,1.0
59,16702,1.0
60,8036,5.0
60,9079,4.0
60,7771,1.0
61,18189,1.0
61,14769,1.0
61,21002,1.0
61,16636,1.0
61,19364,1.0
61,17410,1.0
61,12221,1.0
61,16174,6.0
61,15739,1.0
61,11323,2.0
61,8517,2.0
61,10956,1.0
61,21425,1.0
61,18748,1.0
61,14124,2.0
61,19605,1.0
61,10040,1.0
61,20485,1.0
61,16642,1.0
61,15348,1.0
61,8528,1.0
61,18090,1.0
61,14086,1.0
61,10313,1.0
61,17623,1.0
61,15515,1.0
61,19908,1.0
61,12141,1.0
61,19224,1.0
61,11739,5.0
61,16585,1.0
61,10624,1.0
61,19673,1.0
61,20396,1.0
61,15390,1.0
61,7000,1.0
62,20902,5.0
62,20724,1.0
62,18477,1.0
62,7491,1.0
62,18217,1.0
62,13668,2.0
62,16543,1.0
62,18437,1.0
62,16522,1.0
62,18606,4.0
62,10746,1.0
62,9171,1.0
62,8880,1.0
62,20102,1.0
62,13479,1.0
62,12636,1.0
62,15857,2.0
62,8562,1.0
62,18714,1.0
62,11863,1.0
63,20936,1.0
63,13600,1.0
63,17839,1.0
63,18606,5.0
63,12766,2.0
63,19773,1.0
63,18399,3.0
63,16747,3.0
63,17688,1.0
63,12928,1.0
63,8176,2.0
64,15260,2.0
64,18718,3.0
64,20171,4.0
64,20004,7.0
64,12724,1.0
64,10299,1.0
64,19673,1.0
64,20121,1.0
64,7566,1.0
64,11955,1.0
64,15115,2.0
64,17804,1.0
64,14443,1.0
64,12188,1.0
64,19187,1.0
65,7575,1.0
65,16854,1.0
65,8834,1.0
65,20009,1.0
65,20161,1.0
65,20746,2.0
65,9384,2.0
65,14324,1.0
65,19992,1.0
65,12358,1.0
65,7364,1.0
65,17933,1.0
65,12798,3.0
65,15668,1.0
65,7883,1.0
65,8517,1.0
65,19183,1.0
65,20823,1.0
65,12077,1.0
65,15598,1.0
65,10117,1.0
65,13471,1.0
65,21571,1.0
65,8425,1.0
65,14352,1.0
65,17409,1.0
65,10748,1.0
65,12206,1.0
66,8007,1.0
66,9546,1.0
66,14873,1.0
67,9997,1.0
67,8894,2.0
67,11603,1.0
67,14973,1.0
67,20357,1.0
67,13020,1.0
67,7254,1.0
67,11154,3.0
67,18875,1.0
67,13663,1.0
67,7118,1.0
67,15856,1.0
68,8393,2.0
68,14873,4.0
68,13454,1.0
68,7566,1.0
68,20121,1.0
68,11247,1.0
68,14421,1.0
68,19673,1.0
68,13643,1.0
68,14126,1.0
69,8517,2.0
69,9873,8.0
69,7968,4.0
69,15911,1.0
69,16725,4.0
69,15705,1.0
69,20188,1.0
69,18788,5.0
69,18148,2.0
69,19242,31.0
69,7166,1.0
69,18531,1.0
69,12031,1.0
69,11724,1.0
69,18224,1.0
69,15668,1.0
69,12881,1.0
69,14907,1.0
69,9844,1.0
69,13467,1.0
69,18381,1.0
70,14651,1.0
70,7575,2.0
70,15684,7.0
70,13893,4.0
70,7968,2.0
70,21218,2.0
70,11479,1.0
70,17939,1.0
70,20310,1.0
70,11671,1.0
70,17700,1.0
70,12065,1.0
70,11000,1.0
70,18872,2.0
70,8445,1.0
70,8368,1.0
70,18993,1.0
70,21143,1.0
70,13701,1.0
70,12988,1.0
70,20681,1.0
70,15936,1.0
70,19213,1.0
70,8665,1.0
70,7407,1.0
70,7032,1.0
70,14179,1.0
70,11031,1.0
70,20768,1.0
70,20191,1.0
70,15175,1.0
70,18226,1.0
71,9238,4.0
71,7724,2.0
71,16747,2.0
71,10429,1.0
71,11970,1.0
71,15624,2.0
71,8189,1.0
71,8365,1.0
71,8562,1.0
71,21374,1.0
71,11626,1.0
71,15297,1.0
71,13342,1.0
71,10377,2.0
71,19410,5.0
71,17501,2.0
71,16375,1.0
71,8341,3.0
71,7466,1.0
71,8727,1.0
71,19694,1.0
71,17975,2.0
71,16404,1.0
71,11508,1.0
71,16591,1.0
71,20226,1.0
71,19419,1.0
71,12061,1.0
71,20069,1.0
71,19655,1.0
71,18222,2.0
71,12590,1.0
71,11112,1.0
71,18983,1.0
71,18191,1.0
72,21072,2.0
72,20185,1.0
72,11416,4.0
72,21499,1.0
72,12835,1.0
72,16127,1.0
72,19154,1.0
72,9777,1.0
72,14495,1.0
72,11358,1.0
72,14424,1.0
73,7898,1.0
73,12711,1.0
73,21161,1.0
73,19496,1.0
73,19673,4.0
73,9484,1.0
73,10299,1.0
73,14125,1.0
73,10813,1.0
73,11942,1.0
73,20606,1.0
73,20121,1.0
73,7566,1.0
73,9229,1.0
73,14036,1.0
73,14421,3.0
73,16495,1.0
73,9079,3.0
73,12746,1.0
73,15319,1.0
74,16084,1.0
74,21557,1.0
74,14266,1.0
74,8331,1.0
74,10876,1.0
75,16561,1.0
75,11001,1.0
76,7802,1.0
76,18110,2.0
76,17422,1.0
76,12872,1.0
76,8517,4.0
76,19184,1.0
76,21162,2.0
76,10185,1.0
76,12723,1.0
76,16098,1.0
76,19955,1.0
76,15237,1.0
76,12604,1.0
77,16252,1.0
77,11156,4.0
77,13025,2.0
77,18198,1.0
77,9484,1.0
77,14022,1.0
77,18561,1.0
77,19673,1.0
78,14349,10.0
78,12674,2.0
78,18598,4.0
78,11469,2.0
78,19752,3.0
78,19187,1.0
78,14001,1.0
78,11108,1.0
78,14143,1.0
78,14873,1.0
78,14454,1.0
78,16967,1.0
79,20140,50.0
79,19658,3.0
79,15115,1.0
79,19673,1.0
79,20314,1.0
80,18208,1.0
80,12655,1.0
80,8249,1.0
80,9923,1.0
80,16958,1.0
80,9024,1.0
80,21358,2.0
80,17288,1.0
80,17081,1.0
80,14627,3.0
80,20069,1.0
80,19235,2.0
80,12759,1.0
80,19683,1.0
80,13847,1.0
80,10326,1.0
80,12326,1.0
80,13319,1.0
80,7080,1.0
80,17222,1.0
80,16410,1.0
80,12385,1.0
80,8820,1.0
80,12445,1.0
80,12683,3.0
80,9238,1.0
80,13342,1.0
80,10605,1.0
80,9939,1.0
80,14765,1.0
80,8155,1.0
80,17688,1.0
80,16299,1.0
80,9240,2.0
80,18606,1.0
80,8501,1.0
80,10711,1.0
80,20396,1.0
80,9086,1.0
80,14075,1.0
80,11420,1.0
80,16493,1.0
80,14669,1.0
80,11412,1.0
80,15857,1.0
80,21109,1.0
81,6961,1.0
81,8234,2.0
81,14737,1.0
81,13643,1.0
81,9172,1.0
82,12855,1.0
82,16352,1.0
82,19605,1.0
82,9126,1.0
82,8517,1.0
82,17693,1.0
82,9298,1.0
83,19541,1.0
83,8834,2.0
83,20163,2.0
83,7588,1.0
83,9876,2.0
83,17246,1.0
83,8736,3.0
83,14046,1.0
83,7942,1.0
83,17364,1.0
83,9329,1.0
83,8236,1.0
83,8331,2.0
83,15161,1.0
